t,open,high,low,close,volume
1752897600000,118361.1,118361.1,118250,118309,1322334.594374201
1752897300000,118275.1,118361.1,118275,118361,12799816.907079717
1752897000000,118277.7,118277.8,118210.7,118275,994623.892120024
1752896700000,118313,118352,118277.6,118277.6,795991.021861432
1752896400000,118354.1,118417.2,118313,118313,3668399.370488933
1752896100000,118290.1,118369,118258.9,118354.1,3510169.430622961
1752895800000,118266.2,118301.7,118225.2,118290,3966232.218013635
1752895500000,118288.1,118315.2,118263.7,118266.1,672152.566744211
1752895200000,118232,118311.5,118232,118288.1,2301145.432362038
1752894900000,118223.1,118253.1,118189.4,118232,786443.584072154
1752894600000,118152.2,118223.1,118150.2,118223.1,395443.07977019
1752894300000,118187.7,118218.5,118125.2,118152.2,1024794.871287608
1752894000000,118212,118229.9,118176,118187.8,674695.591738925
1752893700000,118260.3,118306.7,118180.1,118211.2,1065821.117877858
1752893400000,118200,118268,118200,118260.3,544076.127633951
1752893100000,118143.2,118238.2,118135.7,118200.1,1008234.931906069
1752892800000,118100,118165.9,118083.8,118143.2,537852.831883419
1752892500000,118096,118224.9,118080,118100,1488075.057436929
1752892200000,117986,118099.8,117986,118095.8,562782.249105978
1752891900000,118074.2,118074.2,117972.2,117986,1197654.659505801
1752891600000,118084,118100.4,118016,118074.2,1046008.993965144
1752891300000,118049.3,118100,117968,118084.1,705031.087236653
1752891000000,117986.6,118049.4,117976.1,118049.3,341900.191041595
1752890700000,117956.5,118048,117939.6,117987.3,615388.302313942
1752890400000,118042.7,118096,117956.4,117956.5,716867.605557667
1752890100000,118070.1,118075.4,118008.7,118042.6,364011.384716298
1752889800000,118040,118073.9,118008.7,118070.1,364431.459900576
1752889500000,118033.7,118111.1,117960.1,118038.4,1132037.074760172
1752889200000,118014.9,118087.8,118002,118033.8,565744.238708702
1752888900000,117954.5,118015,117954.5,118014.9,1132971.390621884
1752888600000,117997.2,117997.2,117935,117954.6,378434.80891028
1752888300000,118022.4,118022.4,117938,117997.3,477722.757938976
1752888000000,117965,118026,117940,118022.4,518591.690569286
1752887700000,117915,117987.5,117880,117965.1,627152.960840545
1752887400000,117840,117919.5,117780,117915,1110970.704188831
1752887100000,117657.5,117840,117614.2,117840,1007201.005130795
1752886800000,117742.4,117768.4,117637.9,117657.5,820434.910706117
1752886500000,117872.1,117872.1,117717.2,117744,657797.291842877
1752886200000,117873.8,117945.5,117852,117872.1,177802.362345532
1752885900000,117919.9,117924.7,117838,117873.7,760015.625858478
1752885600000,117915.1,117950,117860.7,117919.1,1021221.367131568
1752885300000,117985.1,117985.1,117881.5,117915,1404121.495700276
1752885000000,117967.9,118040,117967.9,117985.1,638576.445743718
1752884700000,117976,117976,117944,117968,349127.855374471
1752884400000,117895,117976,117880.9,117975.9,495028.910453755
1752884100000,117937.7,117940,117890,117895,354006.926214867
1752883800000,117868,117937.7,117860.7,117937.6,618703.960752894
1752883500000,117925.9,117926,117860,117867.9,789841.998091702
1752883200000,117934.1,117960.1,117846,117926,1075167.67289122
1752882900000,117899.9,117936.9,117899.9,117934,658345.235473823
1752882600000,117967.9,118033.2,117862.7,117899.8,1328007.711979765
1752882300000,117872.2,118030.5,117834.1,117967.9,2488322.951246866
1752882000000,117846.3,117884,117846.3,117872.1,334176.282518586
1752881700000,117897,117908,117813.6,117846.2,1258045.287705036
1752881400000,117839.9,117920.5,117839.9,117896.9,317520.942184424
1752881100000,117848,117858,117772,117839.9,729839.411740984
1752880800000,117842.1,117888.8,117800,117848.1,1572091.532705061
1752880500000,117670.7,117842,117642.1,117842,1284892.204622185
1752880200000,117575,117688.3,117516.1,117670.6,999787.272780019
1752879900000,117555.9,117598.9,117458.8,117573.5,879681.970331917
1752879600000,117695.9,117716.4,117545.3,117555.9,713368.714037754
1752879300000,117659.9,117700,117648,117695.9,270122.014091067
1752879000000,117733.8,117733.8,117601.8,117659.7,468865.89905008
1752878700000,117788.5,117828.3,117680.5,117733.9,1577643.175400499
1752878400000,117891.9,117891.9,117781.7,117788.5,1413417.507652856
1752878100000,117850,117892,117846,117892,425892.35100019
1752877800000,117885.8,117941.2,117814.3,117850,668847.080951363
1752877500000,117767.6,117983.9,117767.5,117885.8,5552649.044764212
1752877200000,117695.9,117767.6,117695.9,117767.5,1367802.149657274
1752876900000,117616.1,117696,117598,117696,352792.12508492
1752876600000,117452.1,117633,117452.1,117616,2068322.719338806
1752876300000,117491.3,117533.4,117368.3,117452,1573941.826151998
1752876000000,117681.3,117712.8,117475.9,117491.2,2251181.945563673
1752875700000,117640,117686,117588,117681.4,553251.463298622
1752875400000,117812.9,117812.9,117640.1,117640.1,860359.708986189
1752875100000,117814.4,117897.3,117808.4,117812.9,1853004.832593573
1752874800000,117771.1,117850.2,117753.2,117815,1424637.53780796
1752874500000,117809.9,117853.6,117736,117771.1,922173.923629349
